article_id,section,date,origin,topics_mentioned
3169738022,News,2025-02-23,Toronto Star,tariffs_trade
3050570298,politics/provincial,2024-05-03,Hamilton Spectator,Campaign dynamics / byelection results [new]; Legislature dress-code (kaffiyeh) controversy [new]
3087537240,Other,2024-08-03,Globe and Mail,housing; municipal powers
3074182151,news/ontario,2024-06-30,Hamilton Spectator,Science Centre / public institutions [new]
2929126521,opinion/letters-to-the-editor,2024-02-21,Toronto Star,"taxes; education; public transit; crime (mentioned, no evaluable actor)"
3035427840,News,2024-04-11,Toronto Star,housing; municipal powers
3063326569,politics/provincial,2024-06-03,Hamilton Spectator,health_care
3056106404,News,2024-05-18,Globe and Mail,crime; health_care
3061567093,News,2024-05-30,Globe and Mail,education; Social media / online child safety [new]
3126483201,politics/provincial,2024-11-10,Hamilton Spectator,public transit (bike lanes)
