"","1_housing","2_tariffs_trade","3_taxes","4_health_care","5_education","6_post_secondary","7_immigration","8_crime","Other_1","Other_2","Other_3","Other_4","Other_5"
"1","housing [✓]","u.s","$","health","said","government","lcbo","police [✓]","said","said","ford","said","election"
"2","said","said","per","care","school [✓]","ontario","beer","said","greenbelt","new","like","ontario","ford"
"3","city","tariffs","cent","said","education [✓]","said","stores","court","government","ontario","one","centre","party"
"4","lanes","canada","ford","ontario","board","university [✓]","ontario","ontario","premier","energy","just","science","ontario"
"5","bike","trump","government","family","social","students","government","law","political","power","get","city","leader"
"6","people","mr","tax [✓]","hospital [✓]","work","federal","alcohol","justice","ford","government","even","sites","said"
"7","toronto","ford","year","patients","schools","$","said","government","minister","province","people","place","liberal"
"8","municipalities","canadian","said","doctors","workers","funding","store","ford","mpp","highway","time","niagara","crombie"
"9","new","trade [✓]","ontario","medical","children","per","wine","people","office","projects","now","toronto","ndp"
"10","mayor","premier","billion","people","students","years","strike","judges","last","build","can","new","campaign"
"11","province","ontario","million","access","public","new","ford","legal","cabinet","climate","much","ford","liberals"
"12","government","president","cost","doctor [✓]","members","public","convenience","case","star","electricity","many","site","voters"
"13","homes","donald","new","government","teachers","canada","union","bill","legislature","project","toronto","public","doug"
"14","council","tariff [✓]","money","system","community","province","workers","public","statement","environmental","doug","transit","stiles"
"15","municipal","american","premier","province","union","also","sales","also","ford's","building","years","government","vote"
"16","encampments","trump's","last","need","media","cent","advertising","chief","leader","development","go","drug","progressive"
"17","ford","states","spending","new","people","year","liquor","committee","ndp","gas","know","building","early"
"18","traffic","united","budget","hospitals","boards","international","booze","criminal [✓]","land","also","good","safe","ford's"
"19","legislation","border","ontarians","health-care","toronto","increase","province","crime [✓]","investigation","first","think","province","premier"
"20","affordable","also","doug","services","kids","provincial","retail","toronto","stiles","company","take","also","political"
"21","cities","premiers","ford's","primary","office","three","premier","decision","commissioner","electric","long","$","conservative"
"22","premier","economy","crombie","years","first","colleges [✓]","public","system","staff","infrastructure","ford's","consumption","candidate"
"23","also","threat","province","emergency","need","universities [✓]","$","says","decision","minister","premier","people","riding"
"24","use","ms","taxes [✓]","sault","support","says","sell","rights","information","industry","make","treatment","new"
"25","residents","doug","carbon","beds","home","student [✓]","grocery","bail [✓]","told","plant","right","community","bonnie"
"26","build","mandate","provincial","nurses","ottawa","report","industry","including","integrity","$","still","falls","provincial"
"27","need","it’s","years","community","premier","number","bags","hahn","house","ev","might","addiction","pc"
"28","construction","goods","people","home","parents","can","news","violence","made","plan","back","park","federal"
"29","transportation","per","ontario's","sudbury","ontario","since","local","former","mpps","nuclear","never","premier","conservatives"
"30","provincial","cent","liberal","funding","days","financial","doug","premier","time","vehicle","us","services","former"
"31","ontario","federal","election","get","president","sector","million","officers","former","plants","day","last","polls"
"32","homelessness","economic","taxpayers","jones","minister","work","opseu [6]","canada","email","investment","see","mayor","next"
"33","transit","need","minister","can","many","workers","corner","judicial","park","change","world","service","candidates"
"34","street","canadians","plan","medicine","use","many","can","officer","oct","years","may","health","parties"
"35","plan","mexico","federal","one","day","canadian","deal","two","rcmp","production","highway","provincial","opposition"
"36","public","country","dollars","needs","week","tuition [✓]","products","last","caucus","companies","made","ottawa","going"
"37","homeless [✓]","25","also","physicians","indigenous","according","across","act","also","battery","thing","open","people"
"38","building","going","leader","northern","families","ottawa","jobs","comments","jama","future","car","million","one"
"39","can","threats","two","dr","labour","policy","service","death","asked","construction","little","two","two"
"40","road","government","next","also","issues","ford","outlets","zameer","thursday","cost","around","drugs","last"
"41","across","ford’s","cut","long-term","statement","need","employees","doug","report","vehicles","often","west","marit"
"42","going","washington","poll","including","working","10","move","appointments","ontario","costs","yet","year","also"
"43","chow","ottawa","just","across","want","college [✓]","revenue","lawyers","one","solar","getting","supervised","won"
"44","crisis","leaders","can","ste","last","ontario's","going","appeal","premier's","demand","need","facility","2022"
"45","roads","first","back","clinics","unions","program","plan","going","legislative","federal","come","report","win"
"46","infrastructure","state","fiscal","program","take","costs","also","told","personal","built","far","years","tories"
"47","mayors","monday","now","mental","employees","2023","support","lawyer","conservative","local","seems","infrastructure","pcs"
"48","make","jobs","200","marie","cupe","programs","consumers","legislation","members","emissions","want","announced","years"
"49","doug","meeting","economic","stiles","district","schools","get","statement","speaker","region","put","use","green"
"50","get","deal","say","plan","time","support","paper","three","questions","jobs","tunnel","parking","call"
"51","work","canada's","costs","says","monday","however","ready-to-drink","made","doug","supply","every","deal","since"
"52","local","prime","increase","wait","national","last","customers","cases","ban","windsor","life","project","time"
"53","development","province’s","pay","million","post","recent","job","general","hamilton","green","lot","close","leaders"
"54","bill","minister","progressive","crisis","jewish","system","including","called","move","north","line","doug","majority"
"55","go","week","much","private","know","help","cocktails","one","process","home","part","one","support"
"56","want","exports","1","ontarians","action","current","first","auto","wrote","natural","keep","including","mississauga"
"57","help","war","one","nurse [✓]","doug","government's","monopoly","evidence","2023","year","got","street","local"
"58","land","trudeau","first","physician [✓]","also","higher","help","years","scandal","next","trying","metrolinx","elections"
"59","support","told","liberals","treatment","better","province's","supermarkets","courts","marit","process","less","spa","feb"
"60","city's","protect","political","provincial","health","set","board","group","wake","system","ago","therme","snap"
"61","units","alberta","bonnie","shortage","history","make","canada","judge","open","413","idea","area","now"
"62","lane","tuesday","make","residents","catholic","pay","locations","theft [✓]","auditor","economic","big","sutcliffe","milton"
"63","councillors","ontario’s","get","waiting","including","next","like","say","business","work","done","ttc","queen's"
"64","home","plan","inflation","many","everyone","approach","retailers","process","kaffiyeh","lecce","better","near","ahead"
"65","congestion","back","early","without","always","2022","control","monday","mr","investments","though","decision","27"
"66","planning","products","health","cancer","staff","including","225","jail","ministers","assessment","course","move","park"
"67","powers","says","spend","clinic","just","made","hornick","association","day","doug","politicians","roof","first"
"68","last","security","bethlenfalvy","help","change","increases","contract","members","general","can","past","made","mayor"
"69","bloor","make","every","nursing [✓]","food","levels","private","trial","progressive","industrial","find","lease","seat"
"70","clause","provincial","help","two","taken","already","spirits","family","independent","wind","nothing","location","running"
"71","rent [✓]","impose","three","now","us","announced","says","2021","reporters","capacity","well","st","leadership"
"72","gridlock","election","income","number","wednesday","private","staples","can","executive","water","policy","chow","power"
"73","property","steel","times","association","class","without","agreement","person","rules","manufacturing","means","going","called"
"74","issue","including","system","time","across","governments","ontario's","politicians","may","critical","look","waterfront","week"
"75","way","administration","end","public","trip","provinces","already","sent","queen's","plans","different","build","legislature"
"76","remove","china","fall","support","review","service","beverages","canadian","affairs","expansion","fact","lrt","2026"
"77","sarkaria","smith","support","sylvia","think","across","announced","charged","year","generation","times","first","team"
"78","minister","threatened","debt","told","local","high","selling","conduct","request","two","likely","injection","seats"
"79","proposed","countries","time","ndp","can","increased","journalism","video","back","growth","401","train","held"
"80","changes","two","20","provide","learning","five","just","found","first","clean","say","lot","ottawa"
"81","using","news","put","patient","going","needs","big","shooting [✓]","7","including","given","plans","elected"
"82","parks","response","another","mpp","star","2024","expansion","believe","developers","area","front","space","just"
"83","communities","take","province's","$","ford","two","back","service","liberal","mining","already","line","well"
"84","hamilton","last","conservative","healthcare [✓]","call","decision","sale","women","motion","billion","left","concerns","ontarians"
"85","shelter","canada’s","affordability","doug","system","despite","buy","elected","israel","announced","road","closure","byelection"
"86","urban","new","deficit","centre","women","post-secondary [✓]","cider","helicopters","ministry","says","away","around","day"
"87","notwithstanding","workers","families","homes","start","services","people","released","new","proposed","ever","south","politics"
"88","existing","imports","cheques","address","black","rate","business","human","comment","environment","problem","don","votes"
"89","staff","campaign","announced","open","things","provide","crown","partner","wearing","price","rather","save","june"
"90","without","national","government's","hours","several","announcement","company","week","arnott","major","enough","serviceontario","four"
"91","issues","wednesday","2018","available","spokesperson","business","media","charges","saying","group","point","friday","strong"
"92","park","trump’s","since","next","protest","given","available","star","order","premier","seen","surma","three"
"93","safety","made","rebate","ontario's","lecce","research","market","ruling","clark","potential","anything","harm","party's"
"94","cyclists","americans","spent","year","told","market","restaurants","changes","amato","across","great","recovery","mpp"
"95","community","energy","promised","minister","really","small","open","accused","public","one","hard","group","issues"
"96","coun","coming","like","ottawa","video","policies","corporations","wrote","concerns","sector","cost","centres","schreiner"
"97","put","provinces","four","work","online","supply","gaming","appointed","speaking","province's","matter","safety","run"
"98","just","america","interest","ministry","two","investment","ontarians","stolen","opposition","nations","actually","station","west"
"99","told","justin","month","room","meeting","expected","corporation","tribunal","say","chain","politics","way","2018"
"100","including","called","instead","like","smith","first","table","since","question","governments","recent","three","things"
