article_id,section,date,origin,title,topic,potential_merge,actor,actor_party_bucket,sentiment_score,ascribing,public_reaction,other_actors,other_observations,example_quote,quote_is_direct,topic_certainty,actor_certainty,sentiment_certainty,ascribing_certainty,public_certainty,row_id
2914136645,News,2024-01-16,Globe and Mail,When will Doug Ford rein in Ontario's foreign-student industry?,post_secondary;immigration;housing,,Doug Ford / Ontario government,PC,-0.6,author,,Federal Immigration Minister Marc Miller,Author criticizes Ford's government for inaction on foreign-student growth despite federal warnings of a possible cap; also blames the federal government for slow action but assigns primary blame to Ontario.,"Yet there's been no word from Ontario Premier Doug Ford on whether he has any plans to fix the problem. So far, his government has done almost nothing.",FALSE,85,95,88,90,,r000
3071391372,Canada / World,2024-06-24,Hamilton Spectator,Community rallies for Science Centre:   Facility's fate has now become a political issue,public_infrastructure,municipal_powers,Ontario government/Ford (PC),PC,-0.7,public (rally attendees/parents),Community rally in a west-Toronto park; parents and children chanted 'Save our science centre'; parent quote calling the closure 'extremely unnecessary and cruel',NDP Leader Marit Stiles; Liberal Leader Bonnie Crombie; Katarina Gligorijevic; Colin Geddes,Science Centre closure was framed by the province as safety-driven (roof risk) but criticized by the community as abrupt; building faces $369 million in maintenance needs over 20 years.,The abruptness of the closure felt extremely unnecessary and cruel,TRUE,75,90,85,85,90,r001
3071391372,Canada / World,2024-06-24,Hamilton Spectator,Community rallies for Science Centre:   Facility's fate has now become a political issue,public_infrastructure,municipal_powers,Ontario government/Ford (PC),PC,-0.6,NDP (Marit Stiles),,Bonnie Crombie; rally attendees,Stiles joined the rally and urged the government to reverse the closure decision.,Both NDP Leader Marit Stiles and Liberal Leader Bonnie Crombie urged the Progressive Conservative government to reverse its decision to move the centre and instead repair the existing facility.,FALSE,75,90,80,85,,r002
3071391372,Canada / World,2024-06-24,Hamilton Spectator,Community rallies for Science Centre:   Facility's fate has now become a political issue,public_infrastructure,municipal_powers,Ontario government/Ford (PC),PC,-0.6,Liberal (Bonnie Crombie),,Marit Stiles; rally attendees,Crombie joined the NDP in calling for the closure decision to be reversed.,Both NDP Leader Marit Stiles and Liberal Leader Bonnie Crombie urged the Progressive Conservative government to reverse its decision to move the centre and instead repair the existing facility.,FALSE,75,90,80,85,,r003
3064715152,politics/provincial,2024-06-04,Toronto Star,Opposition parties say they're ready if Doug Ford calls a snap election,election_timing,,Doug Ford / PC government,PC,-0.6,NDP (Marit Stiles),,,Stiles criticizes the possibility of a Ford snap election.,"If he thinks that an early election is going to help him, he's wrong",TRUE,80,95,85,95,,r004
3064715152,politics/provincial,2024-06-04,Toronto Star,Opposition parties say they're ready if Doug Ford calls a snap election,alcohol_sales,taxes,Doug Ford / PC government,PC,-0.6,Liberal (Bonnie Crombie),,,Crombie ties the alcohol deal's cost to her own tax-cut proposal.,This billion-dollar booze boondoggle will pay for two years of this tax.,TRUE,85,95,85,95,,r005
3064715152,politics/provincial,2024-06-04,Toronto Star,Opposition parties say they're ready if Doug Ford calls a snap election,alcohol_sales;election_timing,taxes,Doug Ford / PC government,PC,-0.5,Green (Mike Schreiner),,,Schreiner predicts the alcohol deal spending will politically backfire on Ford ahead of a possible early election.,spending a billion dollars on booze to facilitate an early election is going to backfire on the premier,TRUE,80,95,80,95,,r006
3064715152,politics/provincial,2024-06-04,Toronto Star,Opposition parties say they're ready if Doug Ford calls a snap election,alcohol_sales;election_timing,taxes,Doug Ford / PC government,PC,-0.3,author,,,"Article describes the accelerated Beer Store deal as controversial, with critics warning of costs up to $1 billion, ahead of a possible snap election call.",in a controversial deal critics warn could actually cost as much as $1 billion,FALSE,75,90,70,85,,r007
3064715152,politics/provincial,2024-06-04,Toronto Star,Opposition parties say they're ready if Doug Ford calls a snap election,election_timing,,Marit Stiles / NDP,NDP,0.5,self (Stiles),,,Stiles projects confidence in NDP election readiness.,We're already rolling up our sleeves,TRUE,75,95,80,95,,r008
3064715152,politics/provincial,2024-06-04,Toronto Star,Opposition parties say they're ready if Doug Ford calls a snap election,taxes;election_timing,,Bonnie Crombie / Liberal,Liberal,0.4,self (Crombie),"Liberals trail Ford's Tories in every public-opinion poll, with the NDP in third place",,Crombie promotes her small-business tax-cut proposal while acknowledging the Liberals trail in polls.,"You heard that correct, Liberals are tax-cutters",TRUE,80,95,75,90,90,r009
