article_id,topic,sentence,context_window,sentiment_score,certainty_pct,explanation,other_observations
3171428538,tariffs_trade,Public Safety Minister David McGuinty and Ottawa's new fentanyl czar are in Washington for three days of meetings to convince the Trump administration to relent on its vow to implement 25-per-cent tariffs on Canadian goods on March 4.,small,-0.5,70,"""Vow to implement"" and the need to ""relent"" frame the tariff as a coercive threat Canada is trying to talk the U.S. down from.","Diplomatic/defensive framing; no explicit emotional language, mostly factual."
3171428538,tariffs_trade,Public Safety Minister David McGuinty and Ottawa's new fentanyl czar are in Washington for three days of meetings to convince the Trump administration to relent on its vow to implement 25-per-cent tariffs on Canadian goods on March 4.,medium,-0.5,72,Same framing holds with the following sentence about Trump adding confusion; no new valence cues.,"Sentence-2 window (article opens with this sentence, no prior sentence to add)."
3171428538,tariffs_trade,Public Safety Minister David McGuinty and Ottawa's new fentanyl czar are in Washington for three days of meetings to convince the Trump administration to relent on its vow to implement 25-per-cent tariffs on Canadian goods on March 4.,large,-0.5,75,Full-article context (Gould's unrelated cabinet comments) doesn't change the negative tariff framing.,Article mixes two unrelated stories (tariffs + Liberal leadership); topic-relevant portion is short.
3171428538,tariffs_trade,"Speaking to reporters at a cabinet meeting today, U.S. President Donald Trump sowed confusion by suggesting the tariffs were instead coming April 2, before Secretary of Commerce Howard Lutnick intervened to say the original timeline of March 4 was still in place.",small,-0.4,65,"""Sowed confusion"" casts the tariff process as chaotic/mismanaged, a mildly negative frame on the situation.",Ambiguous whether the negativity targets Trump's messaging or the tariff itself.
3171428538,tariffs_trade,"Speaking to reporters at a cabinet meeting today, U.S. President Donald Trump sowed confusion by suggesting the tariffs were instead coming April 2, before Secretary of Commerce Howard Lutnick intervened to say the original timeline of March 4 was still in place.",medium,-0.45,70,"Preceding sentence's ""vow to implement tariffs"" reinforces the adversarial frame.",
3171428538,tariffs_trade,"Speaking to reporters at a cabinet meeting today, U.S. President Donald Trump sowed confusion by suggesting the tariffs were instead coming April 2, before Secretary of Commerce Howard Lutnick intervened to say the original timeline of March 4 was still in place.",large,-0.45,72,Consistent with rest of article.,
3171428538,tariffs_trade,"Mr. Lutnick said Canada and Mexico, which faces the same threats from Washington, must demonstrate by early March that they have taken adequate steps to avert what he described as the ""fentanyl-related"" tariffs.",small,-0.5,75,"""Threats"" and ""avert"" explicitly frame the tariffs as something Canada must escape/prevent — clearly negative valence.",
3171428538,tariffs_trade,"Mr. Lutnick said Canada and Mexico, which faces the same threats from Washington, must demonstrate by early March that they have taken adequate steps to avert what he described as the ""fentanyl-related"" tariffs.",medium,-0.5,78,Consistent with the two preceding tariff sentences.,
3171428538,tariffs_trade,"Mr. Lutnick said Canada and Mexico, which faces the same threats from Washington, must demonstrate by early March that they have taken adequate steps to avert what he described as the ""fentanyl-related"" tariffs.",large,-0.5,78,Consistent with full article.,
3171428538,health_care,"Gould said she would want Carney on the economy, Freeland working on international affairs and Baylis working on health care, based on ideas he presented during the debate.",small,0,60,"Purely descriptive cabinet-assignment list; no evaluative language attached to ""health care"" itself.",Score is genuinely ambiguous at sentence level — flagged for cross-check.
3171428538,health_care,"Gould said she would want Carney on the economy, Freeland working on international affairs and Baylis working on health care, based on ideas he presented during the debate.",medium,0.15,65,"Preceding quote ""I want them to be part of my team"" adds a collegial, mildly positive tone.",
3171428538,health_care,"Gould said she would want Carney on the economy, Freeland working on international affairs and Baylis working on health care, based on ideas he presented during the debate.",large,0.15,68,"Whole article frames Gould's outreach to rivals positively (welcoming, inclusive).",
3171313081,tariffs_trade,"Mr. Ford called the snap election a year and a half early, arguing that he needed a ""strong mandate"" to fight back against U.S. President Donald Trump and his tariff threats.",small,-0.6,80,"""Fight back against"" and ""tariff threats"" are explicitly adversarial/combative language.",
3171313081,tariffs_trade,"Mr. Ford called the snap election a year and a half early, arguing that he needed a ""strong mandate"" to fight back against U.S. President Donald Trump and his tariff threats.",medium,-0.6,80,Article is only two sentences; medium window ≈ full article.,
3171313081,tariffs_trade,"Mr. Ford called the snap election a year and a half early, arguing that he needed a ""strong mandate"" to fight back against U.S. President Donald Trump and his tariff threats.",large,-0.6,82,Same as medium — article too short for large window to add context.,Very short article (279 chars); window-size distinction is largely moot.
3171313080,tariffs_trade,"""It is diversifying our trade partners with new trading routes, and it's creating one Canadian economy instead of 13.""",small,0.5,70,"Aspirational, forward-looking language (""diversifying"", ""creating"") in a Carney quote about economic opportunity.","Direct quote from a leadership candidate — sentiment reflects the speaker's framing, not necessarily objective reality."
3171313080,tariffs_trade,"""It is diversifying our trade partners with new trading routes, and it's creating one Canadian economy instead of 13.""",medium,0.55,75,"Preceding line ""this is a time to build"" reinforces the optimistic framing.",
3171313080,tariffs_trade,"""It is diversifying our trade partners with new trading routes, and it's creating one Canadian economy instead of 13.""",large,0.5,75,Consistent with Carney being portrayed as the confident front-runner throughout the article.,
3171313080,health_care,"For Frank Baylis, an executive with a medical technology firm and a former MP, his sweet-spot question was about what each candidate would do as prime minister to get more Canadians access to family doctors.",small,-0.2,55,"""Access to family doctors"" implies an existing shortage/gap, a mild negative undertone about the state of the system.",Certainty is low because the sentence itself is largely descriptive of the debate format.
3171313080,health_care,"For Frank Baylis, an executive with a medical technology firm and a former MP, his sweet-spot question was about what each candidate would do as prime minister to get more Canadians access to family doctors.",medium,-0.4,70,"Following sentence's ""hallway gurneys"" imagery pulls this mention toward a clearer negative framing of the health system.",
3171313080,health_care,"For Frank Baylis, an executive with a medical technology firm and a former MP, his sweet-spot question was about what each candidate would do as prime minister to get more Canadians access to family doctors.",large,-0.35,68,"Full-article framing keeps Baylis's empathetic, problem-focused tone.",
3171313080,health_care,"That allowed him to push the empathy button in talking about seeing people sprawled on hallway gurneys, and to offer policy prescriptions for kicking open more ""doors"" through which Canadians could access health care.",small,-0.5,78,"""Sprawled on hallway gurneys"" is vivid negative imagery of healthcare-system strain; outweighs the solution-oriented close.",
3171313080,health_care,"That allowed him to push the empathy button in talking about seeing people sprawled on hallway gurneys, and to offer policy prescriptions for kicking open more ""doors"" through which Canadians could access health care.",medium,-0.5,80,Reinforced by preceding sentence on doctor access.,
3171313080,health_care,"That allowed him to push the empathy button in talking about seeing people sprawled on hallway gurneys, and to offer policy prescriptions for kicking open more ""doors"" through which Canadians could access health care.",large,-0.45,78,"Solution-oriented framing (""kicking open doors"") tempers the negativity slightly at full-article scale.",
3171313080,tariffs_trade,"...over the question of how each candidate would defend Canada against the threat of Donald Trump, tariffs and forced statehood.",small,-0.7,85,"""Threat"", ""defend against"", and ""forced statehood"" are unambiguous strongly negative/existential-threat language.",
3171313080,tariffs_trade,"...over the question of how each candidate would defend Canada against the threat of Donald Trump, tariffs and forced statehood.",medium,-0.7,88,"Reinforced by Freeland's quote calling Trump ""the biggest threat our country has seen since the Second World War.""",
3171313080,tariffs_trade,"...over the question of how each candidate would defend Canada against the threat of Donald Trump, tariffs and forced statehood.",large,-0.7,88,Consistent across the full article.,
3171253100,tariffs_trade,The U.S. President's tariff threats have put Canadians on a path to a trade war.,small,-0.7,85,"""Threats"" and ""path to a trade war"" are explicit, strongly negative economic/security language.",
3171253100,tariffs_trade,The U.S. President's tariff threats have put Canadians on a path to a trade war.,medium,-0.65,82,"Preceding sentence (""a time of surprises"") adds an unsettled, negative tone.",
3171253100,tariffs_trade,The U.S. President's tariff threats have put Canadians on a path to a trade war.,large,-0.65,85,Consistent with the article's framing of the election as overshadowed by the tariff threat.,
3171253100,tariffs_trade,"Ontario, the most trade-dependent province, stands to lose a lot.",small,-0.7,88,"""Stands to lose a lot"" is direct, unambiguous negative framing of economic exposure.",
3171253100,tariffs_trade,"Ontario, the most trade-dependent province, stands to lose a lot.",medium,-0.7,88,Consistent with preceding sentence on trade war risk.,
3171253100,tariffs_trade,"Ontario, the most trade-dependent province, stands to lose a lot.",large,-0.7,88,Consistent across article.,
3171253100,health_care,...are pressing him on more traditional campaign issues such as health care.,small,0,55,"Neutral, descriptive listing of a campaign issue; no evaluative language attached.",
3171253100,health_care,...are pressing him on more traditional campaign issues such as health care.,medium,0,55,"""Won't let him win without a fight"" describes the political contest, not health care substantively.",
3171253100,health_care,...are pressing him on more traditional campaign issues such as health care.,large,0,58,Remains neutral across the full profile-style article.,
3171253100,post_secondary,"Ms. Stiles, a Newfoundlander, got into politics during her studies at Carleton University in Ottawa, then worked as an NDP MP's assistant and later a school trustee.",small,0,80,Purely biographical fact with no evaluative language.,
3171253100,post_secondary,"Ms. Stiles, a Newfoundlander, got into politics during her studies at Carleton University in Ottawa, then worked as an NDP MP's assistant and later a school trustee.",medium,0,82,Biography section stays factual throughout.,
3171253100,post_secondary,"Ms. Stiles, a Newfoundlander, got into politics during her studies at Carleton University in Ottawa, then worked as an NDP MP's assistant and later a school trustee.",large,0,82,Consistent with the rest of the leader-profile section.,
3171253100,education,"Ms. Stiles, a Newfoundlander, got into politics during her studies at Carleton University in Ottawa, then worked as an NDP MP's assistant and later a school trustee.",small,0,80,"Same sentence as the post_secondary mention (""university""); ""school trustee"" is also neutral biography.","Sentence contains two topic keywords from different topics (university, school) — counted as two separate topic mentions."
3171253100,education,"Ms. Stiles, a Newfoundlander, got into politics during her studies at Carleton University in Ottawa, then worked as an NDP MP's assistant and later a school trustee.",medium,0,82,Neutral throughout.,
