topic,mention_count
housing,28
taxes,26
health_care,23
municipal_powers,21
crime,17
public_transit,15
post_secondary,14
tariffs_trade,14
education,12
immigration,8
election_timing,7
electioneering,7
alcohol,7
public_transit (bike lanes),7
corruption_scandal,6
alcohol_retail,6
environment,5
judicial_appointments,5
public_infrastructure,4
alcohol_sales,4
legislature_conduct,4
party_politics,4
child_welfare,4
agriculture_trespass_law,4
harm_reduction_drug_policy,3
hate_crimes,3
campaign_conduct,3
labour_relations (LCBO strike),3
alcohol_policy,3
economic_development,2
public_opinion_polling,2
mental_health,2
environment_greenbelt,2
domestic_violence_policy,2
campus_protests,2
climate_policy,2
election_polling,2
roads_highways (Hwy 401 tunnel/congestion),1
public_transit (bike lanes/street changes per headline),1
election_campaign,1
labour_relations,1
