topic,representative_keywords_observed,article_ids
housing,"housing, homes, real estate, housing costs, housing supply",3087537240;3035427840
municipal_powers,"municipal, council, deputy mayor, dissolve Peel Region, provincial approval",3087537240;3035427840
tariffs_trade,"tariffs, trade, retaliatory tariffs, Trump",3169738022
taxes,"corporate taxes, tax cuts, taxpayer",2929126521
education,"school boards, kindergarten, Education Minister, curriculum",2929126521;3061567093
public_transit,"LRT, Crosstown, bike lane, Bill 212, gridlock",2929126521;3126483201
crime,"decriminalization, criminal justice, car theft, auto theft",3056106404;2929126521
health_care,"hospital, ER, health-care, doctors, addiction/health",3063326569;3056106404
post_secondary,(none found in this batch),NONE
immigration,(none found in this batch),NONE
"Campaign dynamics / byelection results [new topic, no dictionary]","byelection, riding, vote share, party leader",3050570298
"Science Centre / public institutions [new topic, no dictionary]","Science Centre, roof collapse, provincial funding of institutions",3074182151
"Social media / online child safety [new topic, no dictionary]","social media lawsuit, addictive design, online harms",3061567093
"Legislature dress-code (kaffiyeh) [new topic, no dictionary]","kaffiyeh, Speaker ruling, overtly political attire",3050570298
